17	15	5.63291612203887e-10	5.93011044829782e-10
17	16	3.14504009586434e-10	3.31476685415582e-10
17	17	2.99924140794347e-10	3.15941224930086e-10
17	18	3.05357275085795e-10	3.20894746995723e-10
17	19	3.08928355522355e-10	3.24682981702042e-10
17	20	2.84566138075401e-10	2.99143072138036e-10
19	15	3.55095922451617e-10	3.73700444865465e-10
19	16	1.04710181596519e-10	1.10062903000574e-10
19	17	3.96123511800934e-11	4.16595259949986e-11
19	18	2.36490618424202e-11	2.49135833195592e-11
19	19	2.20218257859286e-11	2.31941820904368e-11
19	20	2.26181222531959e-11	2.37570140621813e-11
20	15	3.47828182063498e-10	3.65680520419278e-10
20	16	8.41361435049275e-11	8.84605111034890e-11
20	17	2.59557949324166e-11	2.73253868207314e-11
20	18	1.02328854631378e-11	1.07604167732775e-11
20	19	6.07895883595873e-12	6.39914355789636e-12
20	20	5.37440084003372e-12	5.66200003589913e-12
22	15	3.36039190587722e-10	3.53497089495208e-10
22	16	8.62758509007696e-11	9.07334515347351e-11
22	17	2.10856503092336e-11	2.22024202929898e-11
22	18	5.30450120642266e-12	5.57904617030275e-12
22	19	1.58155341139699e-12	1.66106002709549e-12
22	20	6.37819575015121e-13	6.69053869596798e-13
18	15	3.74585063216385e-10	3.94741800277615e-10
18	16	1.51792176649828e-10	1.60164565150943e-10
18	17	9.03151236662017e-11	9.50176494229259e-11
18	18	8.20770345101847e-11	8.65085738684737e-11
18	19	8.02962965901895e-11	8.46130189354966e-11
18	20	7.79399360845098e-11	8.20259499279750e-11
