8	10	3.47962525379536e-05	3.63403481467662e-05
8	15	3.57438119163603e-05	3.73157547056386e-05
8	20	3.29257428931074e-05	3.43816811911701e-05
8	25	3.40836256045493e-05	3.56165264404023e-05
8	30	3.45025629053130e-05	3.60300636421103e-05
16	10	3.29667978334022e-07	3.47089395966084e-07
16	15	1.31120423090503e-09	1.37623862910661e-09
16	20	1.10638371212336e-09	1.16228630013216e-09
16	25	1.12281472468275e-09	1.17976956237577e-09
16	30	1.13749241923829e-09	1.19634239233889e-09
24	10	3.49549114851189e-07	3.67104151710635e-07
24	15	3.52325963305408e-10	3.70090196332690e-10
24	20	3.49201891211704e-13	3.67042854225638e-13
24	25	2.86881658325237e-14	3.01827596000390e-14
24	30	2.80118698847030e-14	2.94021839307631e-14
32	10	3.41706526842460e-07	3.59444131510917e-07
32	15	3.28677468662749e-10	3.46240430889847e-10
32	20	3.34230390277631e-13	3.51718801785430e-13
32	25	4.10194438924857e-16	4.34544397538410e-16
32	30	7.24775101794908e-17	7.67926389349693e-17
64	10	3.35720573343805e-07	3.53253448154308e-07
64	15	3.34763432183844e-10	3.52341673116094e-10
64	20	3.15278660898647e-13	3.31700875001131e-13
64	25	4.16226658517329e-16	4.41596973383271e-16
64	30	7.01131957159681e-17	7.43235268554527e-17
